Pixel 1,Pixel 1
Voltage,Current Density
V,mA.cm^-2
-0.10163,-5.20125
-0.081688,-5.20175
-0.061567,-5.2025
-0.041502,-5.2015
-0.02134,-5.202
-0.0012718,-5.20125
0.018917,-5.2035
0.038605,-5.20175
0.058741,-5.1995
0.078737,-5.1975
0.098816,-5.198499999999999
0.11886,-5.1972499999999995
0.13887,-5.1972499999999995
0.15898,-5.194749999999999
0.17899,-5.19675
0.1991,-5.196999999999999
0.21883,-5.196
0.23889,-5.196
0.25893,-5.1965
0.27906,-5.19525
0.29909,-5.194749999999999
0.31924,-5.1895
0.33919,-5.18225
0.35935,-5.167249999999999
0.37932,-5.1415
0.39905,-5.08925
0.41906,-4.986249999999999
0.43916,-4.7780000000000005
0.45916,-4.40525
0.47923,-3.7700000000000005
0.49927,-2.7855
0.51922,-1.40945
0.53925,0.391425
0.55915,2.6232499999999996
0.57884,5.28825
0.59868,8.536
,
Sweep Time (s),Voltage Rate (V/s)
1.3249506950378418,0.5283215463198857
