Wvlgth nm,Global tilt W*m-2*nm-1
447.66,1.96E-02
448.029,2.19E-02
448.398,2.32E-02
448.768,2.44E-02
449.137,2.38E-02
449.506,2.71E-02
449.875,2.54E-02
450.243,2.82E-02
450.612,2.67E-02
450.981,2.64E-02
451.35,2.91E-02
451.719,3.00E-02
452.087,2.96E-02
452.456,3.30E-02
452.825,3.36E-02
453.193,3.32E-02
453.562,3.42E-02
453.93,3.98E-02
454.299,3.80E-02
454.667,4.21E-02
455.035,4.25E-02
455.404,3.82E-02
455.772,4.28E-02
456.14,4.52E-02
456.508,4.84E-02
456.877,5.15E-02
457.245,5.06E-02
457.613,5.14E-02
457.981,5.31E-02
458.349,5.80E-02
458.717,5.65E-02
459.085,6.25E-02
459.452,6.43E-02
459.82,6.39E-02
460.188,6.39E-02
460.556,6.63E-02
460.923,6.90E-02
461.291,7.21E-02
461.659,7.21E-02
462.026,7.35E-02
462.394,7.10E-02
462.761,7.07E-02
463.128,7.18E-02
463.496,7.34E-02
463.863,7.12E-02
464.23,7.41E-02
464.598,7.29E-02
464.965,6.89E-02
465.332,7.10E-02
465.699,6.56E-02
466.066,6.53E-02
466.433,6.32E-02
466.8,6.28E-02
467.167,5.73E-02
467.534,5.66E-02
467.901,5.71E-02
468.268,5.28E-02
468.635,5.18E-02
469.001,5.06E-02
469.368,4.74E-02
469.735,4.50E-02
470.101,4.59E-02
470.468,4.43E-02
470.834,4.63E-02
471.201,4.03E-02
471.567,3.71E-02
471.934,3.89E-02
472.3,3.65E-02
472.666,3.37E-02
473.032,3.53E-02
473.399,3.22E-02
473.765,3.43E-02
474.131,3.25E-02
474.497,3.28E-02
474.863,3.00E-02
475.229,3.00E-02
475.595,3.08E-02
475.961,2.91E-02
476.327,2.96E-02
476.693,2.97E-02
477.058,2.73E-02
477.424,2.66E-02
477.79,2.73E-02
478.156,2.65E-02
478.521,2.57E-02
478.887,2.56E-02
479.252,2.65E-02
479.618,2.49E-02
479.983,2.30E-02
480.348,2.33E-02
480.714,2.41E-02
481.079,2.15E-02
481.444,2.08E-02
481.81,2.16E-02
482.175,2.23E-02
482.54,2.01E-02
482.905,2.07E-02
483.27,2.01E-02
483.635,2.06E-02
484,1.91E-02
484.365,1.86E-02
484.73,1.95E-02
485.095,1.73E-02
485.459,1.76E-02
485.824,1.69E-02
486.189,1.91E-02
486.553,1.47E-02
486.918,1.48E-02
487.283,1.68E-02
487.647,1.59E-02
488.012,1.46E-02
488.376,1.44E-02
488.74,1.58E-02
489.105,1.56E-02
489.469,1.50E-02
489.833,1.58E-02
490.198,1.49E-02
490.562,1.52E-02
490.926,1.45E-02
491.29,1.47E-02
491.654,1.36E-02
492.018,1.29E-02
492.382,1.40E-02
492.746,1.45E-02
493.11,1.50E-02
493.474,1.51E-02
493.837,1.46E-02
494.201,1.56E-02
494.565,1.56E-02
494.928,1.51E-02
495.292,1.43E-02
495.656,1.56E-02
496.019,1.50E-02
496.383,1.61E-02
496.746,1.55E-02
497.109,1.51E-02
497.473,1.65E-02
497.836,1.61E-02
498.199,1.64E-02
498.563,1.75E-02
498.926,1.74E-02
499.289,1.74E-02
499.652,1.86E-02
500.015,1.88E-02
500.378,1.90E-02
500.741,1.80E-02
501.104,1.94E-02
501.467,1.92E-02
501.829,2.01E-02
502.192,2.10E-02
502.555,2.23E-02
502.918,2.35E-02
503.28,2.33E-02
503.643,2.61E-02
504.005,2.59E-02
504.368,2.43E-02
504.73,2.66E-02
505.093,2.74E-02
505.455,2.74E-02
505.817,2.86E-02
506.18,2.97E-02
506.542,3.20E-02
506.904,3.21E-02
507.266,3.29E-02
507.628,3.52E-02
507.991,3.45E-02
508.353,3.66E-02
508.715,3.64E-02
509.076,4.00E-02
509.438,4.07E-02
509.8,4.24E-02
510.162,4.25E-02
510.524,4.41E-02
510.885,4.20E-02
511.247,4.59E-02
511.609,4.83E-02
511.97,4.77E-02
512.332,5.03E-02
512.693,5.11E-02
513.055,5.18E-02
513.416,5.11E-02
513.778,5.28E-02
514.139,5.59E-02
514.5,5.54E-02
514.861,5.60E-02
515.223,5.65E-02
515.584,5.72E-02
515.945,5.91E-02
516.306,6.01E-02
516.667,6.02E-02
517.028,6.17E-02
517.389,6.06E-02
517.75,6.12E-02
518.11,6.17E-02
518.471,6.14E-02
518.832,6.17E-02
519.193,6.19E-02
519.553,6.38E-02
519.914,6.30E-02
520.274,6.43E-02
520.635,6.08E-02
520.995,5.95E-02
521.356,6.18E-02
521.716,6.01E-02
522.076,6.00E-02
522.437,5.99E-02
522.797,5.76E-02
523.157,5.81E-02
523.517,5.55E-02
523.877,5.59E-02
524.238,5.48E-02
524.598,5.53E-02
524.958,5.41E-02
525.317,5.37E-02
525.677,5.38E-02
526.037,5.21E-02
526.397,5.03E-02
526.757,4.88E-02
527.116,5.03E-02
527.476,4.74E-02
527.836,4.70E-02
528.195,4.69E-02
528.555,4.52E-02
528.914,4.43E-02
529.274,4.42E-02
529.633,4.04E-02
529.993,4.26E-02
530.352,4.26E-02
530.711,4.04E-02
531.07,3.86E-02
531.429,3.67E-02
531.789,3.83E-02
532.148,3.79E-02
532.507,3.70E-02
532.866,3.73E-02
533.225,3.61E-02
533.584,3.72E-02
533.942,3.48E-02
534.301,3.25E-02
534.66,3.33E-02
535.019,3.18E-02
535.377,3.40E-02
535.736,3.24E-02
536.095,3.16E-02
536.453,3.11E-02
536.812,3.17E-02
537.17,2.97E-02
537.528,3.01E-02
537.887,3.10E-02
538.245,2.91E-02
538.603,2.89E-02
538.962,2.91E-02
539.32,2.76E-02
539.678,2.64E-02
540.036,2.76E-02
540.394,2.63E-02
540.752,2.66E-02
541.11,2.71E-02
541.468,2.60E-02
541.826,2.59E-02
542.184,2.38E-02
542.541,2.56E-02
542.899,2.54E-02
543.257,2.32E-02
543.614,2.40E-02
543.972,2.26E-02
544.33,2.29E-02
544.687,2.06E-02
545.045,2.24E-02
545.402,2.33E-02
545.759,2.31E-02
546.117,2.29E-02
546.474,2.05E-02
546.831,2.07E-02
547.188,1.90E-02
547.546,1.73E-02
547.903,1.90E-02
548.26,1.88E-02
548.617,1.68E-02
548.974,1.75E-02
549.331,1.69E-02
549.687,1.68E-02
550.044,1.62E-02
550.401,1.58E-02
550.758,1.62E-02
551.114,1.46E-02
551.471,1.56E-02
551.828,1.47E-02
552.184,1.41E-02
552.541,1.40E-02
552.897,1.48E-02
553.254,1.25E-02
553.61,1.32E-02
553.966,1.24E-02
554.323,1.23E-02
554.679,1.28E-02
555.035,1.30E-02
555.391,1.18E-02
555.747,1.12E-02
556.103,1.12E-02
556.459,1.12E-02
556.815,1.14E-02
557.171,1.13E-02
557.527,1.08E-02
557.883,1.08E-02
558.239,1.15E-02
558.594,1.04E-02
558.95,1.07E-02
559.306,1.16E-02
559.661,1.01E-02
560.017,8.95E-03
560.372,1.04E-02
560.728,9.99E-03
561.083,1.08E-02
561.438,9.90E-03
561.794,9.57E-03
562.149,8.85E-03
562.504,1.00E-02
562.859,8.85E-03
563.215,9.47E-03
563.57,8.59E-03
563.925,1.01E-02
564.28,8.36E-03
564.635,9.34E-03
564.99,6.90E-03
565.344,8.95E-03
565.699,8.56E-03
566.054,6.93E-03
566.409,7.74E-03
566.763,8.16E-03
567.118,7.61E-03
567.473,7.67E-03
567.827,8.32E-03
568.182,8.09E-03
568.536,8.41E-03
568.891,7.64E-03
569.245,7.54E-03
569.599,8.64E-03
569.953,7.80E-03
570.308,7.64E-03
570.662,7.19E-03
571.016,8.19E-03
571.37,6.61E-03
571.724,7.48E-03
572.078,7.19E-03
572.432,7.03E-03
572.786,6.32E-03
573.14,7.57E-03
573.494,6.99E-03
573.847,7.80E-03
574.201,7.93E-03
574.555,6.93E-03
574.908,7.28E-03
575.262,6.93E-03
575.615,6.90E-03
575.969,7.80E-03
576.322,6.51E-03
576.676,8.01E-03
577.029,7.81E-03
577.382,6.51E-03
577.736,7.09E-03
578.089,6.96E-03
578.442,8.14E-03
578.795,8.10E-03
579.148,7.19E-03
579.501,7.61E-03
579.854,7.16E-03
580.207,6.83E-03
580.56,7.13E-03
580.913,8.18E-03
581.265,7.16E-03
581.618,7.19E-03
581.971,5.91E-03
582.324,7.59E-03
582.676,7.00E-03
583.029,7.43E-03
583.381,7.96E-03
583.734,7.59E-03
584.086,7.30E-03
584.438,7.73E-03
584.791,6.86E-03
585.143,7.33E-03
585.495,7.53E-03
585.847,7.20E-03
586.2,8.54E-03
586.552,8.10E-03
586.904,7.91E-03
587.256,8.01E-03
587.608,8.92E-03
587.959,7.63E-03
588.311,8.25E-03
588.663,8.32E-03
589.015,7.67E-03
589.367,6.65E-03
589.718,7.57E-03
590.07,8.39E-03
590.421,9.19E-03
590.773,7.60E-03
591.124,7.84E-03
591.476,8.92E-03
591.827,9.06E-03
592.179,9.30E-03
592.53,7.74E-03
592.881,9.60E-03
593.232,9.00E-03
593.584,9.56E-03
593.935,9.00E-03
594.286,8.83E-03
594.637,9.75E-03
594.988,9.72E-03
595.339,1.00E-02
595.689,8.73E-03
596.04,1.02E-02
596.391,1.06E-02
596.742,1.02E-02
597.092,1.20E-02
597.443,1.10E-02
597.794,1.02E-02
598.144,1.20E-02
598.495,1.12E-02
598.845,1.21E-02
599.196,1.23E-02
599.546,1.31E-02
599.896,1.24E-02
600.247,1.27E-02
600.597,1.26E-02
600.947,1.32E-02
601.297,1.39E-02
601.647,1.30E-02
601.997,1.39E-02
602.347,1.52E-02
602.697,1.43E-02
603.047,1.58E-02
603.397,1.51E-02
603.747,1.60E-02
604.096,1.62E-02
604.446,1.69E-02
604.796,1.77E-02
605.145,1.83E-02
605.495,1.84E-02
605.844,1.83E-02
606.194,1.96E-02
606.543,1.88E-02
606.893,2.13E-02
607.242,2.17E-02
607.591,2.14E-02
607.94,2.36E-02
608.29,2.22E-02
608.639,2.28E-02
608.988,2.40E-02
609.337,2.54E-02
609.686,2.57E-02
610.035,2.75E-02
610.384,2.91E-02
610.733,3.04E-02
611.081,3.03E-02
611.43,3.12E-02
611.779,3.14E-02
612.127,3.22E-02
612.476,3.27E-02
612.825,3.39E-02
613.173,3.35E-02
613.522,3.64E-02
613.87,3.59E-02
614.218,3.82E-02
614.567,3.89E-02
614.915,4.01E-02
615.263,4.08E-02
615.611,4.31E-02
615.96,4.33E-02
616.308,4.67E-02
616.656,4.58E-02
617.004,4.97E-02
617.352,5.02E-02
617.7,5.32E-02
618.047,5.41E-02
618.395,5.60E-02
618.743,5.86E-02
619.091,6.06E-02
619.438,6.41E-02
619.786,6.74E-02
620.134,6.81E-02
620.481,7.25E-02
620.829,7.28E-02
621.176,7.42E-02
621.523,8.00E-02
621.871,7.99E-02
622.218,8.59E-02
622.565,8.89E-02
622.912,9.17E-02
623.259,9.61E-02
623.607,9.88E-02
623.954,1.02E-01
624.301,1.04E-01
624.648,1.07E-01
624.994,1.13E-01
625.341,1.17E-01
625.688,1.21E-01
626.035,1.25E-01
626.382,1.26E-01
626.728,1.31E-01
627.075,1.35E-01
627.421,1.40E-01
627.768,1.41E-01
628.114,1.42E-01
628.461,1.46E-01
628.807,1.46E-01
629.154,1.45E-01
629.5,1.46E-01
629.846,1.45E-01
630.192,1.42E-01
630.538,1.42E-01
630.884,1.34E-01
631.231,1.30E-01
631.577,1.27E-01
631.922,1.22E-01
632.268,1.16E-01
632.614,1.10E-01
632.96,1.05E-01
633.306,9.75E-02
633.651,9.02E-02
633.997,8.60E-02
634.343,8.07E-02
634.688,7.43E-02
635.034,7.08E-02
635.379,6.57E-02
635.725,6.02E-02
636.07,5.69E-02
636.415,5.30E-02
636.761,4.79E-02
637.106,4.57E-02
637.451,4.12E-02
