Wvlgth nm,Global tilt W*m-2*nm-1
473.399,0.00784
473.765,0.0065
474.131,0.00861
474.497,0.00795
474.863,0.00715
475.229,0.00743
475.595,0.00848
475.961,0.00741
476.327,0.00865
476.693,0.00549
477.058,0.00604
477.424,0.00756
477.79,0.00773
478.156,0.00789
478.521,0.00677
478.887,0.00709
479.252,0.00715
479.618,0.00825
479.983,0.00701
480.348,0.00692
480.714,0.00654
481.079,0.00587
481.444,0.00765
481.81,0.00689
482.175,0.00586
482.54,0.00764
482.905,0.00552
483.27,0.00689
483.635,0.00589
484,0.00707
484.365,0.00693
484.73,0.00604
485.095,0.00718
485.459,0.00687
485.824,0.006
486.189,0.00668
486.553,0.00634
486.918,0.00722
487.283,0.00671
487.647,0.00624
488.012,0.00595
488.376,0.00591
488.74,0.00508
489.105,0.00606
489.469,0.00602
489.833,0.00646
490.198,0.00649
490.562,0.00565
490.926,0.00648
491.29,0.00611
491.654,0.00595
492.018,0.00595
492.382,0.00489
492.746,0.00427
493.11,0.00559
493.474,0.00493
493.837,0.00458
494.201,0.00554
494.565,0.00619
494.928,0.00701
495.292,0.0061
495.656,0.00447
496.019,0.0047
496.383,0.00579
496.746,0.00552
497.109,0.00548
497.473,0.00544
497.836,0.0063
498.199,0.00584
498.563,0.00547
498.926,0.0054
499.289,0.00606
499.652,0.00524
500.015,0.00594
500.378,0.00509
500.741,0.00425
501.104,0.00502
501.467,0.00601
501.829,0.0048
502.192,0.00552
502.555,0.00607
502.918,0.00447
503.28,0.00483
503.643,0.00527
504.005,0.0044
504.368,0.00468
504.73,0.00504
505.093,0.00558
505.455,0.00522
505.817,0.0053
506.18,0.00533
506.542,0.00458
506.904,0.00536
507.266,0.00525
507.628,0.00536
507.991,0.00575
508.353,0.0045
508.715,0.00479
509.076,0.00464
509.438,0.00418
509.8,0.00485
510.162,0.00538
510.524,0.0046
510.885,0.00517
511.247,0.00552
511.609,0.00549
511.97,0.00516
512.332,0.00554
512.693,0.00519
513.055,0.00572
513.416,0.00484
513.778,0.00596
514.139,0.00498
514.5,0.00595
514.861,0.00404
515.223,0.00508
515.584,0.00376
515.945,0.00522
516.306,0.00543
516.667,0.00541
517.028,0.00531
517.389,0.005
517.75,0.00545
518.11,0.00534
518.471,0.00596
518.832,0.00471
519.193,0.00454
519.553,0.00437
519.914,0.00478
520.274,0.00488
520.635,0.00553
520.995,0.00564
521.356,0.00605
521.716,0.00443
522.076,0.00542
522.437,0.00366
522.797,0.0047
523.157,0.00518
523.517,0.00467
523.877,0.00466
524.238,0.00413
524.598,0.00376
524.958,0.00446
525.317,0.00577
525.677,0.00557
526.037,0.00545
526.397,0.00548
526.757,0.00535
527.116,0.00435
527.476,0.00598
527.836,0.00634
528.195,0.00648
528.555,0.00488
528.914,0.00465
529.274,0.00488
529.633,0.00474
529.993,0.00487
530.352,0.00487
530.711,0.00372
531.07,0.00474
531.429,0.00484
531.789,0.00438
532.148,0.0051
532.507,0.00392
532.866,0.0055
533.225,0.00467
533.584,0.00431
533.942,0.00527
534.301,0.00421
534.66,0.00546
535.019,0.00546
535.377,0.00461
535.736,0.00418
536.095,0.00398
536.453,0.00454
536.812,0.00507
537.17,0.0049
537.528,0.00494
537.887,0.00517
538.245,0.00533
538.603,0.00474
538.962,0.00569
539.32,0.00546
539.678,0.00635
540.036,0.00599
540.394,0.00543
540.752,0.00655
541.11,0.00645
541.468,0.00701
541.826,0.00665
542.184,0.00602
542.541,0.0075
542.899,0.00589
543.257,0.00622
543.614,0.00763
543.972,0.00691
544.33,0.00681
544.687,0.00671
545.045,0.00714
545.402,0.00859
545.759,0.00836
546.117,0.00665
546.474,0.00721
546.831,0.00635
547.188,0.00675
547.546,0.00474
547.903,0.00744
548.26,0.00546
548.617,0.00615
548.974,0.00602
549.331,0.00543
549.687,0.0054
550.044,0.00586
550.401,0.00527
550.758,0.00522
551.114,0.00597
551.471,0.00616
551.828,0.00535
552.184,0.00414
552.541,0.00486
552.897,0.0045
553.254,0.00466
553.61,0.00584
553.966,0.00528
554.323,0.0061
554.679,0.00489
555.035,0.00476
555.391,0.00567
555.747,0.00463
556.103,0.00541
556.459,0.00411
556.815,0.00443
557.171,0.00424
557.527,0.00476
557.883,0.006
558.239,0.00509
558.594,0.00473
558.95,0.0047
559.306,0.0043
559.661,0.00421
560.017,0.00538
560.372,0.00538
560.728,0.00414
561.083,0.00512
561.438,0.0044
561.794,0.00538
562.149,0.00551
562.504,0.00483
562.859,0.00512
563.215,0.00496
563.57,0.00538
563.925,0.00512
564.28,0.00486
564.635,0.00571
564.99,0.00538
565.344,0.00629
565.699,0.00499
566.054,0.00488
566.409,0.00459
566.763,0.00494
567.118,0.00533
567.473,0.00584
567.827,0.00491
568.182,0.00478
568.536,0.00526
568.891,0.00533
569.245,0.00539
569.599,0.00539
569.953,0.00533
570.308,0.00536
570.662,0.00546
571.016,0.00555
571.37,0.00594
571.724,0.00546
572.078,0.0062
572.432,0.00462
572.786,0.00572
573.14,0.00481
573.494,0.00655
573.847,0.00475
574.201,0.00613
574.555,0.00636
574.908,0.00655
575.262,0.00626
575.615,0.00607
575.969,0.00672
576.322,0.00591
576.676,0.00587
577.029,0.00476
577.382,0.00616
577.736,0.00629
578.089,0.00665
578.442,0.00623
578.795,0.00561
579.148,0.00649
579.501,0.00629
579.854,0.00603
580.207,0.00645
580.56,0.00701
580.913,0.00632
581.265,0.00714
581.618,0.00681
581.971,0.00757
582.324,0.00747
582.676,0.00635
583.029,0.00721
583.381,0.00638
583.734,0.00751
584.086,0.00717
584.438,0.00708
584.791,0.00701
585.143,0.00748
585.495,0.00925
585.847,0.00801
586.2,0.00788
586.552,0.00831
586.904,0.00792
587.256,0.00809
587.608,0.0088
587.959,0.00799
588.311,0.00919
588.663,0.00983
589.015,0.00881
589.367,0.00898
589.718,0.00975
590.07,0.01003
590.421,0.00961
590.773,0.01013
591.124,0.01022
591.476,0.01105
591.827,0.01154
592.179,0.0114
592.53,0.01112
592.881,0.01129
593.232,0.01319
593.584,0.0128
593.935,0.01224
594.286,0.0132
594.637,0.01387
594.988,0.01362
595.339,0.01405
595.689,0.01453
596.04,0.0151
596.391,0.01503
596.742,0.01595
597.092,0.01438
597.443,0.01563
597.794,0.01555
598.144,0.0166
