Wvlgth nm,Global tilt W*m-2*nm-1
473.032,0.564
473.399,0.5711
473.765,0.57695
474.131,0.58502
474.497,0.59604
474.863,0.60465
475.229,0.60358
475.595,0.6159
475.961,0.60666
476.327,0.62589
476.693,0.63174
477.058,0.62834
477.424,0.63291
477.79,0.63635
478.156,0.64833
478.521,0.64781
478.887,0.64968
479.252,0.64995
479.618,0.6538
479.983,0.6434
480.348,0.65808
480.714,0.65726
481.079,0.65338
481.444,0.65762
481.81,0.6454
482.175,0.65779
482.54,0.65259
482.905,0.65147
483.27,0.65377
483.635,0.65372
484,0.64641
484.365,0.6579
484.73,0.65462
485.095,0.64804
485.459,0.65131
485.824,0.65563
486.189,0.65181
486.553,0.66247
486.918,0.66439
487.283,0.66964
487.647,0.67823
488.012,0.68118
488.376,0.68596
488.74,0.68826
489.105,0.68853
489.469,0.69857
489.833,0.69739
490.198,0.69795
490.562,0.70368
490.926,0.70843
491.29,0.70573
491.654,0.70805
492.018,0.70803
492.382,0.70068
492.746,0.70295
493.11,0.7135
493.474,0.70526
493.837,0.7036
494.201,0.69709
494.565,0.7014
494.928,0.69873
495.292,0.68544
495.656,0.68892
496.019,0.68466
496.383,0.68358
496.746,0.67517
497.109,0.67197
497.473,0.66065
497.836,0.65853
498.199,0.65212
498.563,0.64665
498.926,0.63816
499.289,0.63344
499.652,0.62035
500.015,0.62097
500.378,0.60911
500.741,0.60541
501.104,0.59363
501.467,0.59663
501.829,0.5797
502.192,0.5789
502.555,0.57531
502.918,0.57034
503.28,0.56188
503.643,0.55378
504.005,0.55186
504.368,0.54693
504.73,0.53786
505.093,0.53746
505.455,0.52663
505.817,0.53163
506.18,0.52094
506.542,0.52051
506.904,0.51363
507.266,0.51074
507.628,0.50789
507.991,0.50043
508.353,0.50157
508.715,0.4944
509.076,0.49094
509.438,0.48731
509.8,0.48518
510.162,0.47302
510.524,0.47496
510.885,0.46909
511.247,0.47104
511.609,0.46714
511.97,0.46845
512.332,0.45726
512.693,0.45856
513.055,0.45646
513.416,0.45565
513.778,0.45253
514.139,0.45505
514.5,0.456
514.861,0.44328
515.223,0.44759
515.584,0.44439
515.945,0.44696
516.306,0.44644
516.667,0.44145
517.028,0.44462
517.389,0.43973
517.75,0.4399
518.11,0.44504
518.471,0.44624
518.832,0.43533
519.193,0.44178
519.553,0.43615
519.914,0.43942
520.274,0.43697
520.635,0.44055
520.995,0.43502
521.356,0.43707
521.716,0.43397
522.076,0.44223
522.437,0.44067
522.797,0.43827
523.157,0.43637
523.517,0.44026
523.877,0.43167
524.238,0.43076
524.598,0.44293
524.958,0.43294
525.317,0.4321
525.677,0.43478
526.037,0.43053
526.397,0.4295
526.757,0.43458
527.116,0.43006
527.476,0.43617
527.836,0.43053
528.195,0.4358
528.555,0.43328
528.914,0.43574
529.274,0.43282
529.633,0.43584
529.993,0.43288
530.352,0.43518
530.711,0.43384
531.07,0.43344
531.429,0.43282
531.789,0.43601
532.148,0.4365
532.507,0.42874
532.866,0.42959
533.225,0.4294
533.584,0.43916
533.942,0.43755
534.301,0.43157
534.66,0.43403
535.019,0.42828
535.377,0.43647
535.736,0.42815
536.095,0.43338
536.453,0.44193
536.812,0.43351
537.17,0.43643
537.528,0.43831
537.887,0.43357
538.245,0.43377
538.603,0.43528
538.962,0.43561
539.32,0.44216
539.678,0.44051
540.036,0.44147
540.394,0.43847
540.752,0.4391
541.11,0.44018
541.468,0.44166
