Pixel 1,Pixel 1
Voltage,Current Density
V,mA.cm^-2
-0.1015,-8.370750000000001
-0.081588,-8.37
-0.06145,-8.366
-0.041406,-8.37375
-0.021248,-8.3685
-0.0011276,-8.36825
0.019053,-8.37
0.03873,-8.36875
0.05887,-8.3675
0.078886,-8.36725
0.098982,-8.36975
0.11899,-8.36875
0.13903,-8.36725
0.1591,-8.370750000000001
0.17917,-8.36525
0.19924,-8.3695
0.21893,-8.36425
0.23904,-8.366
0.25902,-8.362
0.27919,-8.358249999999998
0.29922,-8.356250000000001
0.31938,-8.346250000000001
0.33933,-8.331
0.35949,-8.30775
0.37945,-8.2525
0.39916,-8.145249999999999
0.41922,-7.94875
0.43929,-7.581250000000001
0.4593,-6.9647499999999996
0.4793,-6.0225
0.49934,-4.720999999999999
0.51929,-3.0365
0.53931,-0.962525
0.55918,1.4944250000000001
0.57885,4.354
0.59869,7.77225
,
Sweep Time (s),Voltage Rate (V/s)
1.3518612384796143,0.5178046237846591
