Wvlgth nm,Global tilt W*m-2*nm-1
339.619,0.00E+00
340,0.00E+00
340.381,0.00E+00
340.762,0.00E+00
341.143,0.00E+00
341.524,0.00E+00
341.904,0.00E+00
342.285,0.00E+00
342.666,0.00E+00
343.046,0.00E+00
343.427,0.00E+00
343.807,0.00E+00
344.188,0.00E+00
344.568,0.00E+00
344.949,0.00E+00
345.329,-5.11E-01
345.71,-1.28E+00
346.09,-8.89E-01
346.47,1.51E+00
346.85,2.06E-01
347.23,1.71E-01
347.611,6.45E-02
347.991,8.51E-02
348.371,6.73E-02
348.751,6.08E-02
349.131,6.09E-02
349.511,4.92E-02
349.891,5.25E-02
350.27,4.16E-02
350.65,5.40E-02
351.03,5.82E-02
351.41,3.62E-02
351.79,4.32E-02
352.169,4.96E-02
352.549,5.30E-02
352.928,5.33E-02
353.308,4.84E-02
353.687,4.87E-02
354.067,4.47E-02
354.446,5.18E-02
354.826,4.88E-02
355.205,3.33E-02
355.584,5.16E-02
355.964,4.55E-02
356.343,4.58E-02
356.722,4.58E-02
357.101,5.35E-02
357.48,3.92E-02
357.859,3.88E-02
358.238,4.57E-02
358.617,5.07E-02
358.996,3.98E-02
359.375,5.23E-02
359.754,3.52E-02
360.133,4.09E-02
360.512,4.26E-02
360.891,4.28E-02
361.269,4.03E-02
361.648,3.95E-02
362.027,4.94E-02
362.405,3.59E-02
362.784,4.01E-02
363.162,3.85E-02
363.541,4.34E-02
363.919,4.29E-02
364.298,3.93E-02
364.676,3.49E-02
365.054,3.29E-02
365.433,3.35E-02
365.811,3.27E-02
366.189,3.64E-02
366.567,3.38E-02
366.945,3.26E-02
367.323,3.56E-02
367.701,3.92E-02
368.079,3.70E-02
368.457,2.88E-02
368.835,3.67E-02
369.213,2.48E-02
369.591,3.44E-02
369.969,3.67E-02
370.346,2.86E-02
370.724,3.00E-02
371.102,3.17E-02
371.479,2.83E-02
371.857,3.49E-02
372.235,3.75E-02
372.612,3.80E-02
372.99,3.73E-02
373.367,2.87E-02
373.744,3.42E-02
374.122,2.04E-02
374.499,3.07E-02
374.876,3.15E-02
375.254,2.85E-02
375.631,2.96E-02
376.008,2.75E-02
376.385,2.72E-02
376.762,2.82E-02
377.139,2.67E-02
377.516,2.71E-02
377.893,2.67E-02
378.27,3.53E-02
378.647,2.80E-02
379.024,2.53E-02
379.4,2.70E-02
379.777,2.25E-02
380.154,2.78E-02
380.53,2.22E-02
380.907,2.00E-02
381.284,1.99E-02
381.66,2.59E-02
382.037,2.40E-02
382.413,2.40E-02
382.79,2.90E-02
383.166,2.38E-02
383.542,2.76E-02
383.919,2.17E-02
384.295,2.76E-02
384.671,2.61E-02
385.047,2.81E-02
385.423,2.76E-02
385.799,1.92E-02
386.176,2.22E-02
386.552,2.41E-02
386.928,1.93E-02
387.303,2.17E-02
387.679,2.19E-02
388.055,1.98E-02
388.431,2.24E-02
388.807,2.34E-02
389.183,2.25E-02
389.558,1.88E-02
389.934,2.21E-02
390.309,2.27E-02
390.685,2.10E-02
391.061,1.72E-02
391.436,1.50E-02
391.811,1.83E-02
392.187,1.91E-02
392.562,2.21E-02
392.938,1.46E-02
393.313,1.80E-02
393.688,1.57E-02
394.063,1.73E-02
394.438,2.04E-02
394.814,1.63E-02
395.189,1.67E-02
395.564,1.74E-02
395.939,1.89E-02
396.314,1.56E-02
396.689,2.11E-02
397.063,1.67E-02
397.438,1.43E-02
397.813,1.46E-02
398.188,1.53E-02
398.563,1.44E-02
398.937,1.56E-02
399.312,1.73E-02
399.686,1.88E-02
400.061,1.57E-02
400.435,1.98E-02
400.81,1.64E-02
401.184,1.68E-02
401.559,1.60E-02
401.933,1.41E-02
402.307,1.59E-02
402.682,9.18E-03
403.056,1.54E-02
403.43,1.45E-02
403.804,1.47E-02
404.178,1.66E-02
404.552,1.29E-02
404.926,1.94E-02
405.3,1.80E-02
405.674,1.59E-02
406.048,1.74E-02
406.422,1.40E-02
406.796,1.57E-02
407.169,1.58E-02
407.543,1.58E-02
407.917,1.51E-02
408.291,1.38E-02
408.664,1.37E-02
409.038,1.43E-02
409.411,1.45E-02
409.785,1.70E-02
410.158,1.59E-02
410.531,1.46E-02
410.905,1.31E-02
411.278,1.32E-02
411.651,1.30E-02
412.025,1.44E-02
412.398,1.47E-02
412.771,1.15E-02
413.144,1.28E-02
413.517,1.34E-02
413.89,1.78E-02
414.263,1.14E-02
414.636,1.34E-02
415.009,1.37E-02
415.382,1.72E-02
415.755,8.86E-03
416.127,1.38E-02
416.5,9.78E-03
416.873,1.26E-02
417.245,1.55E-02
417.618,1.30E-02
417.991,1.34E-02
418.363,1.48E-02
418.736,1.67E-02
419.108,1.30E-02
419.48,1.30E-02
419.853,1.16E-02
420.225,1.50E-02
420.597,1.09E-02
420.97,1.39E-02
421.342,1.50E-02
421.714,1.51E-02
422.086,1.20E-02
422.458,1.20E-02
422.83,1.27E-02
423.202,1.47E-02
423.574,1.44E-02
423.946,1.19E-02
424.318,1.26E-02
424.69,1.18E-02
425.061,1.19E-02
425.433,1.22E-02
425.805,1.32E-02
426.177,1.32E-02
426.548,1.17E-02
426.92,1.09E-02
427.291,1.23E-02
427.663,1.16E-02
428.034,1.17E-02
428.406,1.25E-02
428.777,1.32E-02
429.148,1.36E-02
429.519,1.06E-02
429.891,1.22E-02
430.262,1.11E-02
430.633,1.11E-02
431.004,1.19E-02
431.375,1.13E-02
