Pixel 1,Pixel 1
Voltage,Current Density
V,mA.cm^-2
-0.1014,-11.5265
-0.081402,-11.52725
-0.061302,-11.52825
-0.041268,-11.529
-0.021076,-11.519749999999998
-0.0009974,-11.52275
0.019159,-11.524
0.03888,-11.5215
0.058992,-11.52275
0.078996,-11.518749999999999
0.099078,-11.521249999999998
0.11913,-11.521249999999998
0.13919,-11.519
0.15921,-11.521
0.17926,-11.5165
0.1994,-11.5185
0.21911,-11.519749999999998
0.2392,-11.51775
0.25918,-11.516
0.27933,-11.50875
0.29935,-11.504999999999999
0.31948,-11.490499999999999
0.33948,-11.459999999999999
0.35964,-11.40475
0.37963,-11.299249999999999
0.39931,-11.104
0.41931,-10.74675
0.43941,-10.1415
0.4594,-9.23775
0.47941,-7.989249999999999
0.49943,-6.39
0.51938,-4.45125
0.53938,-2.1588
0.55926,0.4857
0.5789,3.501
0.59873,7.050000000000001
,
Sweep Time (s),Voltage Rate (V/s)
1.305495262145996,0.5361949754220691
